op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
aten::addmm,24,705.9791300000004,729.1706790000003,0.0,0.0,84.271104,0.0
quantized::linear_dynamic,1,418.85823800000003,420.5829130000001,0.0,0.0,102.122224,0.0
aten::mul,24,38.935545999999874,40.375991000000084,0.0,0.0,149.815296,0.0
aten::scaled_dot_product_attention,6,0.18081799999973008,33.31807599999984,0.0,0.0,9.363456,0.0
aten::_scaled_dot_product_flash_attention_for_cpu,6,32.05655300000029,33.13725800000011,0.0,0.0,9.50976,0.0
aten::add,26,28.74400500000028,29.3332660000001,0.0,0.0,95.196152,0.0
aten::tanh,6,24.945827000000076,24.945827000000076,0.0,0.0,37.453824,0.0
aten::copy_,49,22.766310000000143,22.766310000000143,0.0,0.0,0.0,0.0
aten::pow,6,11.383453999999999,11.426457999999998,0.0,0.0,37.453824,0.0
aten::layer_norm,13,0.36453800000029696,10.07431999999999,0.0,0.0,20.287488,0.0
aten::native_layer_norm,13,9.094016000000028,9.709781999999691,0.0,0.0,20.34032,0.0
aten::embedding,2,0.11711100000000078,2.677771000000001,0.0,0.0,1.95072,0.0
aten::index_select,2,2.3858420000000002,2.511955,0.0,0.0,1.95072,0.0
aten::empty,62,2.2937369999998882,2.2937369999998882,0.0,0.0,226.806208,0.0
aten::to,33,0.37193600000013155,2.173120000000009,0.0,0.0,0.000604,0.0
aten::_to_copy,25,0.9335960000003597,1.8011839999998773,0.0,0.0,0.000604,0.0
aten::transpose,60,0.7876719999996931,1.0119999999995417,0.0,0.0,0.0,0.0
aten::view,105,0.9387909999995938,0.9387909999995938,0.0,0.0,0.0,0.0
aten::expand,24,0.7018700000001682,0.8838900000000185,0.0,0.0,0.0,0.0
aten::empty_like,7,0.11881000000009226,0.6858680000001331,0.0,0.0,111.48568,0.0
aten::split,6,0.13571400000016,0.6663669999999838,0.0,0.0,0.0,0.0
aten::as_strided,114,0.545065999999736,0.545065999999736,0.0,0.0,0.0,0.0
aten::narrow,18,0.23812299999967945,0.5306529999998238,0.0,0.0,0.0,0.0
aten::empty_strided,31,0.5009519999994946,0.5009519999994946,0.0,0.0,9.36406,0.0
aten::slice,23,0.3075280000001876,0.3974410000002245,0.0,0.0,0.0,0.0
aten::reshape,8,0.08590800000004833,0.15411500000011188,0.0,0.0,0.0,0.0
aten::select,5,0.09110900000000197,0.13171300000000177,0.0,0.0,0.0,0.0
aten::arange,2,0.05210500000000002,0.12101099999999997,0.0,0.0,0.002032,0.0
aten::resolve_conj,72,0.09470499999978528,0.09470499999978528,0.0,0.0,0.0,0.0
aten::all,1,0.0550049999999992,0.062105999999999766,0.0,0.0,1e-06,0.0
aten::dropout,13,0.054003999999942605,0.054003999999942605,0.0,0.0,0.0,0.0
aten::result_type,6,0.031804000000003725,0.031804000000003725,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.018902000000000044,0.031103000000000065,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.013201000000000022,0.01700199999999995,0.0,0.0,0.0,0.0
aten::resize_,1,0.015601000000000113,0.015601000000000113,0.0,0.0,0.001016,0.0
aten::item,1,0.009001000000000203,0.012201000000000023,0.0,0.0,0.0,0.0
aten::_local_scalar_dense,1,0.003199999999999818,0.003199999999999818,0.0,0.0,0.0,0.0
aten::fill_,1,0.002701000000000022,0.002701000000000022,0.0,0.0,0.0,0.0
[memory],161,0.0,0.0,0.0,0.0,-537.915613,0.0
