op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
aten::addmm,24,234.16743499999978,243.68816299999997,0.0,0.0,21.067776,0.0
aten::linear,1,0.031300999999977645,178.188462,0.0,0.0,25.530556,0.0
aten::matmul,1,0.07930099999997765,178.126661,0.0,0.0,25.530556,0.0
aten::mm,1,178.0208599999999,178.02176,0.0,0.0,25.530556,0.0
aten::mul,24,12.080368000000016,13.280886000000006,0.0,0.0,37.453824,0.0
aten::scaled_dot_product_attention,6,0.23370099999991908,11.53675799999998,0.0,0.0,2.340864,0.0
aten::_scaled_dot_product_flash_attention_for_cpu,6,10.38024300000009,11.303057000000061,0.0,0.0,2.37744,0.0
aten::add,26,10.121442999999996,10.47684699999999,0.0,0.0,23.7998,0.0
aten::copy_,49,9.199331999999918,9.199331999999918,0.0,0.0,0.0,0.0
aten::layer_norm,13,0.331803999999931,6.404689999999962,0.0,0.0,5.071872,0.0
aten::tanh,6,6.188383000000002,6.188383000000002,0.0,0.0,9.363456,0.0
aten::native_layer_norm,13,5.573378999999921,6.0728860000000315,0.0,0.0,5.08508,0.0
aten::pow,6,4.924466999999953,4.961166999999994,0.0,0.0,9.363456,0.0
aten::to,32,0.28310499999996225,1.6763240000000015,0.0,0.0,0.000223,0.0
aten::embedding,2,0.1571019999999994,1.5354210000000004,0.0,0.0,0.780288,0.0
aten::_to_copy,25,0.7114090000000569,1.393219000000039,0.0,0.0,0.000223,0.0
aten::index_select,2,1.187017000000001,1.3263190000000005,0.0,0.0,0.780288,0.0
aten::transpose,61,0.6543090000001303,0.8466120000001156,0.0,0.0,0.0,0.0
aten::view,106,0.7645059999999234,0.7645059999999234,0.0,0.0,0.0,0.0
aten::expand,24,0.5939050000000033,0.7229050000000161,0.0,0.0,0.0,0.0
aten::split,6,0.15630400000000372,0.6895099999999674,0.0,0.0,0.0,0.0
aten::narrow,18,0.253102999999981,0.5332059999999638,0.0,0.0,0.0,0.0
aten::empty,60,0.4807070000000513,0.4807070000000513,0.0,0.0,7.196792,0.0
aten::as_strided,115,0.44830399999999826,0.44830399999999826,0.0,0.0,0.0,0.0
aten::empty_strided,31,0.3831030000000064,0.3831030000000064,0.0,0.0,2.341087,0.0
aten::slice,23,0.27650299999987876,0.37760399999985567,0.0,0.0,0.0,0.0
aten::empty_like,6,0.10400300000000424,0.2719049999999879,0.0,0.0,2.340864,0.0
aten::arange,2,0.0739010000000003,0.15350200000000042,0.0,0.0,0.002032,0.0
aten::reshape,9,0.08719999999999299,0.14740100000002576,0.0,0.0,0.0,0.0
aten::select,5,0.1291009999999642,0.14520099999998776,0.0,0.0,0.0,0.0
aten::all,1,0.06190099999999984,0.06980099999999947,0.0,0.0,1e-06,0.0
aten::resolve_conj,74,0.06600000000029103,0.06600000000029103,0.0,0.0,0.0,0.0
aten::dropout,13,0.047399999999942335,0.047399999999942335,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.019600000000000364,0.033300000000000184,0.0,0.0,0.0,0.0
aten::t,1,0.021,0.0305,0.0,0.0,0.0,0.0
aten::result_type,6,0.026900000000023284,0.026900000000023284,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.01230099999999993,0.01670100000000002,0.0,0.0,0.0,0.0
aten::_unsafe_view,1,0.014400000000023283,0.014400000000023283,0.0,0.0,0.0,0.0
aten::item,1,0.010399999999999637,0.013699999999999818,0.0,0.0,0.0,0.0
aten::resize_,1,0.0135,0.0135,0.0,0.0,0.001016,0.0
aten::_local_scalar_dense,1,0.0033000000000001817,0.0033000000000001817,0.0,0.0,0.0,0.0
aten::fill_,1,0.0025,0.0025,0.0,0.0,0.0,0.0
[memory],161,0.0,0.0,0.0,0.0,-134.773036,0.0
