op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
aten::view,106,0.5090069999999971,0.5090069999999971,0.0,0.0,0.0,0.0
aten::embedding,2,0.7375089999999997,2.111729,0.0,0.0,0.0,0.0
aten::reshape,9,0.5063069999999886,0.6263079999999895,0.0,0.0,0.0,0.0
aten::index_select,2,0.5890100000000003,0.9317129999999995,0.0,0.0,0.0,0.0
aten::empty,66,0.7211069999999856,0.7211069999999856,0.0,0.0,9.6e-05,0.0
aten::resize_,3,0.2739029999999998,0.2739029999999998,0.0,0.0,0.0,0.0
aten::arange,2,0.38810600000000023,0.7048090000000002,0.0,0.0,0.0,0.0
[memory],161,0.0,0.0,0.0,0.0,0.0,0.0
aten::add,26,0.8870080000000098,0.8870080000000098,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.08690099999999938,0.1898019999999997,0.0,0.0,0.0,0.0
aten::as_strided,75,0.3154010000000085,0.3154010000000085,0.0,0.0,0.0,0.0
aten::to,8,0.20000200000000767,0.5798070000000071,0.0,0.0,0.0,0.0
aten::_to_copy,1,0.23190199999999914,0.3798049999999994,0.0,0.0,0.0,0.0
aten::empty_strided,1,0.052600999999999655,0.052600999999999655,0.0,0.0,0.0,0.0
aten::copy_,1,0.0953020000000006,0.0953020000000006,0.0,0.0,0.0,0.0
aten::all,1,0.21240400000000045,0.26370400000000066,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.26310199999999984,0.5704070000000001,0.0,0.0,0.0,0.0
aten::item,1,0.11200300000000062,0.3073050000000003,0.0,0.0,0.0,0.0
aten::_local_scalar_dense,1,0.19530199999999967,0.19530199999999967,0.0,0.0,0.0,0.0
aten::dropout,13,0.08010000000000218,0.08010000000000218,0.0,0.0,0.0,0.0
aten::layer_norm,13,0.5011079999999983,3.3814460000000026,0.0,0.0,0.0,0.0
aten::native_layer_norm,13,2.465334000000009,2.8803380000000045,0.0,0.0,0.0,0.0
aten::addmm,24,3.103041999999996,3.103041999999996,0.0,0.0,0.0,0.0
aten::split,6,0.4298040000000092,2.4610320000000048,0.0,0.0,0.0,0.0
aten::narrow,18,1.018314000000004,2.0312279999999956,0.0,0.0,0.0,0.0
aten::slice,23,1.8118259999999882,1.8800259999999926,0.0,0.0,0.0,0.0
aten::transpose,49,2.0154280000000346,2.106528000000037,0.0,0.0,0.0,0.0
aten::scaled_dot_product_attention,6,0.6846099999999952,4.492060999999994,0.0,0.0,0.0,0.0
aten::_scaled_dot_product_efficient_attention,6,1.1404149999999809,3.807450999999999,0.0,0.0,9.6e-05,0.0
aten::_efficient_attention_forward,6,1.4656200000000117,1.661724000000002,0.0,0.0,9.6e-05,0.0
aten::mul,24,0.6629099999999908,0.6629099999999908,0.0,0.0,0.0,0.0
aten::pow,6,0.4506059999999961,0.4657060000000001,0.0,0.0,0.0,0.0
aten::result_type,6,0.007499999999996362,0.007499999999996362,0.0,0.0,0.0,0.0
aten::tanh,6,0.12380100000000493,0.12380100000000493,0.0,0.0,0.0,0.0
aten::linear,1,0.07579999999999563,0.5341069999999963,0.0,0.0,0.0,0.0
aten::t,1,0.0305,0.07280099999999948,0.0,0.0,0.0,0.0
aten::matmul,1,0.21330300000000715,0.38550600000000124,0.0,0.0,0.0,0.0
aten::mm,1,0.12160199999999895,0.12160199999999895,0.0,0.0,0.0,0.0
aten::_unsafe_view,1,0.0033009999999994762,0.0033009999999994762,0.0,0.0,0.0,0.0
aten::select,1,0.025800999999999477,0.02770100000000093,0.0,0.0,0.0,0.0
