op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
aten::view,106,0.6968099999999895,0.6968099999999895,0.0,0.0,0.0,0.0
aten::embedding,2,0.39860700000000066,1.1881170000000003,0.0,0.0,0.0,0.0
aten::reshape,9,0.7188099999999932,0.789110999999999,0.0,0.0,0.0,0.0
aten::index_select,2,0.5173070000000003,0.6211080000000002,0.0,0.0,0.0,0.0
aten::empty,66,1.135514999999995,1.135514999999995,0.0,0.0,9.6e-05,0.0
aten::resize_,3,0.09170199999999977,0.09170199999999977,0.0,0.0,0.0,0.0
aten::arange,2,0.2686030000000001,0.46250599999999986,0.0,0.0,0.0,0.0
[memory],161,0.0,0.0,0.0,0.0,0.0,0.0
aten::add,26,2.054428000000021,2.054428000000021,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.07290099999999984,0.07950099999999975,0.0,0.0,0.0,0.0
aten::as_strided,75,0.3604030000000198,0.3604030000000198,0.0,0.0,0.0,0.0
aten::to,8,0.08590099999999529,0.3575049999999956,0.0,0.0,0.0,0.0
aten::_to_copy,1,0.16550300000000062,0.2716040000000003,0.0,0.0,0.0,0.0
aten::empty_strided,1,0.024799999999999274,0.024799999999999274,0.0,0.0,0.0,0.0
aten::copy_,1,0.08130100000000039,0.08130100000000039,0.0,0.0,0.0,0.0
aten::all,1,0.23010299999999917,0.2395029999999997,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.0675009999999993,0.36590499999999976,0.0,0.0,0.0,0.0
aten::item,1,0.07920100000000002,0.29840400000000045,0.0,0.0,0.0,0.0
aten::_local_scalar_dense,1,0.21920300000000043,0.21920300000000043,0.0,0.0,0.0,0.0
aten::dropout,13,0.04790099999999893,0.04790099999999893,0.0,0.0,0.0,0.0
aten::layer_norm,13,0.8914140000000053,7.577403000000006,0.0,0.0,0.0,0.0
aten::native_layer_norm,13,5.777575000000023,6.685989,0.0,0.0,0.0,0.0
aten::addmm,24,7.081598,7.081598,0.0,0.0,0.0,0.0
aten::split,6,0.893014000000002,2.932440000000005,0.0,0.0,0.0,0.0
aten::narrow,18,0.9521090000000076,2.0394260000000033,0.0,0.0,0.0,0.0
aten::slice,23,2.3555340000000022,2.467434999999998,0.0,0.0,0.0,0.0
aten::transpose,49,3.0938409999999847,3.3217430000000103,0.0,0.0,0.0,0.0
aten::scaled_dot_product_attention,6,0.44240500000000793,6.15038200000001,0.0,0.0,0.0,0.0
aten::_scaled_dot_product_efficient_attention,6,1.6228229999999912,5.707977000000002,0.0,0.0,9.6e-05,0.0
aten::_efficient_attention_forward,6,2.0366279999999897,2.3601320000000032,0.0,0.0,9.6e-05,0.0
aten::mul,24,1.8375260000000035,1.8375260000000035,0.0,0.0,0.0,0.0
aten::pow,6,1.0971150000000072,1.1216169999999983,0.0,0.0,0.0,0.0
aten::result_type,6,0.011700999999995474,0.011700999999995474,0.0,0.0,0.0,0.0
aten::tanh,6,0.32490500000000067,0.32490500000000067,0.0,0.0,0.0,0.0
aten::linear,1,0.10589999999999418,0.7651100000000006,0.0,0.0,0.0,0.0
aten::t,1,0.06300200000000768,0.12010200000000623,0.0,0.0,0.0,0.0
aten::matmul,1,0.18100299999999697,0.5391080000000001,0.0,0.0,0.0,0.0
aten::mm,1,0.2919040000000023,0.2919040000000023,0.0,0.0,0.0,0.0
aten::_unsafe_view,1,0.006400000000001455,0.006400000000001455,0.0,0.0,0.0,0.0
aten::select,1,0.05680100000000675,0.0614010000000053,0.0,0.0,0.0,0.0
