op_name,count,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,cpu_memory_mb,cuda_memory_mb
cudaStreamIsCapturing,2,0.004180999999999841,0.004180999999999841,0.0,0.0,0.0,0.0
Activity Buffer Request,1,2.4921499999999996,2.4921499999999996,0.0,0.0,0.0,0.0
aten::view,114,0.20564200000000438,0.20564200000000438,0.0,0.0,0.0,0.0
aten::embedding,2,0.02276299999999992,0.8206279999999997,0.0,0.0,0.0,0.0
aten::reshape,33,0.13324899999999298,0.780747999999996,0.0,0.0,0.0,0.0
aten::index_select,2,0.050621000000000096,0.7856170000000002,0.0,0.0,0.0,0.0
aten::empty,96,0.5555130000000031,0.5555130000000031,0.0,0.0,0.0,0.0
aten::resize_,9,0.06584299999999939,0.06584299999999939,0.0,0.0,0.0,0.0
aten::expand,26,0.06902700000000914,0.10089100000000735,0.0,0.0,0.0,0.0
aten::as_strided,83,0.10710000000000128,0.10710000000000128,0.0,0.0,0.0,0.0
aten::gather,2,0.06312800000000016,0.6724459999999999,0.0,0.0,0.0,0.0
cudaLaunchKernel,248,2.7507450000000095,2.7507450000000095,0.0,0.0,0.0,0.0
aten::arange,2,0.017234999999999674,0.0779980000000005,0.0,0.0,0.0,0.0
aten::unsqueeze,1,0.00463799999999992,0.006777000000000043,0.0,0.0,0.0,0.0
aten::to,44,0.05705200000000059,1.039764999999999,0.0,0.0,0.0,0.0
aten::add,25,0.37456399999999757,0.5931950000000001,0.0,0.0,0.0,0.0
aten::_to_copy,31,0.1826929999999961,0.9827129999999984,0.0,0.0,0.0,0.0
aten::empty_strided,31,0.22192100000000345,0.22192100000000345,0.0,0.0,0.0,0.0
aten::copy_,55,0.48168999999999323,1.007540999999996,0.0,0.0,0.0,0.0
aten::all,7,0.128829000000002,0.18916600000000017,0.0,0.0,0.0,0.0
aten::is_nonzero,1,0.0035839999999998325,0.041409000000000105,0.0,0.0,0.0,0.0
aten::item,1,0.003668000000000575,0.037825000000000275,0.0,0.0,0.0,0.0
aten::_local_scalar_dense,1,0.010932000000000244,0.0341569999999997,0.0,0.0,0.0,0.0
cudaMemcpyAsync,1,0.015761999999999717,0.015761999999999717,0.0,0.0,0.0,0.0
cudaStreamSynchronize,1,0.007462999999999738,0.007462999999999738,0.0,0.0,0.0,0.0
[memory],165,0.0,0.0,0.0,0.0,0.0,0.0
aten::dropout,13,0.015610000000000582,0.015610000000000582,0.0,0.0,0.0,0.0
aten::layer_norm,13,0.15602200000000174,0.7996370000000025,0.0,0.0,0.0,0.0
aten::native_layer_norm,13,0.27584900000000107,0.6436150000000007,0.0,0.0,0.0,0.0
aten::addmm,24,0.8402389999999905,1.0816739999999974,0.0,0.0,0.0,0.0
aten::split,6,0.02729399999999987,0.14047299999999904,0.0,0.0,0.0,0.0
aten::narrow,18,0.038201999999996586,0.11317899999999918,0.0,0.0,0.0,0.0
aten::slice,19,0.058525000000003276,0.0780480000000025,0.0,0.0,0.0,0.0
aten::transpose,31,0.09154599999999573,0.13916999999999916,0.0,0.0,0.0,0.0
aten::scaled_dot_product_attention,6,0.08522500000000127,4.8978480000000015,0.0,0.0,0.0,0.0
aten::_scaled_dot_product_attention_math,6,0.27627199999999086,4.812623,0.0,0.0,0.0,0.0
aten::mul,36,0.5671979999999949,0.8717439999999961,0.0,0.0,0.0,0.0
aten::ones,6,0.03007600000000184,0.14466200000000118,0.0,0.0,0.0,0.0
aten::fill_,24,0.12509000000000106,0.2742530000000024,0.0,0.0,0.0,0.0
aten::tril,6,0.08931100000000151,0.130304000000001,0.0,0.0,0.0,0.0
aten::scalar_tensor,18,0.07691499999999087,0.37056299999999553,0.0,0.0,0.0,0.0
aten::where,18,0.2090689999999986,0.6738329999999969,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<bool>, std::array<char*, 1ul> >(int, at::native::FillFunctor<bool>, std::array<char*, 1ul>)",6,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::triu_tril_kernel<bool, int, false, 8, false>(at::cuda::detail::TensorInfo<bool, int>, at::cuda::detail::TensorInfo<bool const, int>, long, long, int)",6,0.0,0.0,0.0,0.0,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",18,0.0,0.0,0.0,0.0,0.0,0.0
