     experiment device  batch_size  seq_length    precision compiled  mean_latency_ms  std_latency_ms  tokens_per_sec  peak_memory_mb  cpu_utilization_percent  gpu_utilization_percent
       baseline    cpu           1          32         fp32       no       102.279130        3.191332      312.869302     1391.292416                    51.35                      0.0
       baseline    cpu           1         128         fp32       no       311.663074       50.164236      410.699921     1427.247104                    85.12                      0.0
       baseline    cpu           1         256         fp32       no       478.492374       26.175996      535.013752     1480.445952                    53.03                      0.0
       baseline   cuda           1          32         fp32       no         6.409856        1.004590     4992.312151      351.293440                    52.00                     16.0
       baseline   cuda           1         128         fp32       no        10.801376        0.197313    11850.341592      370.888192                    44.95                     30.8
       baseline   cuda           1         256         fp32       no        18.393506        1.414403    13917.955760      397.015040                    47.27                     43.5
     batch_size    cpu           1         128         fp32       no       287.106498       50.550386      445.827596     1701.310464                    78.82                      0.0
     batch_size    cpu           2         128         fp32       no       438.379520        8.297441      583.968886     1701.535744                    52.46                      0.0
     batch_size    cpu           4         128         fp32       no       911.847219      145.953403      561.497572     1744.891904                    65.25                      0.0
     batch_size    cpu           8         128         fp32       no      1831.174596      251.742078      559.203913     1815.060480                    64.32                      0.0
     batch_size    cpu          16         128         fp32       no      3402.995603      350.309246      601.822699     2002.481152                    60.50                      0.0
     batch_size   cuda           1         128         fp32       no        10.900138        0.290000    11742.970594      370.888192                    53.37                     32.4
     batch_size   cuda           2         128         fp32       no        15.990504        1.350530    16009.501139      396.810752                    45.93                     44.8
     batch_size   cuda           4         128         fp32       no        20.131683        2.761042    25432.548287      449.830912                    44.52                     54.6
     batch_size   cuda           8         128         fp32       no        37.392771        2.752460    27384.972645      552.347136                    48.13                     65.4
     batch_size   cuda          16         128         fp32       no        81.962712        2.061429    24986.972216      760.184832                    50.34                     80.8
sequence_length    cpu           1          32         fp32       no       102.487288        4.006501      312.233845     2050.506752                    50.72                      0.0
sequence_length    cpu           1         128         fp32       no       317.861064       35.774075      402.691662     2050.834432                    88.12                      0.0
sequence_length    cpu           1         256         fp32       no       448.441139        9.863450      570.866448     2051.227648                    52.72                      0.0
sequence_length   cuda           1          32         fp32       no         6.808309        0.731880     4700.139336      351.293440                    43.12                     19.6
sequence_length   cuda           1         128         fp32       no        10.853896        0.297460    11793.000738      370.888192                    44.95                     29.6
sequence_length   cuda           1         256         fp32       no        15.677386        2.515255    16329.253161      397.015040                    54.59                     46.3
      precision    cpu           4         128         fp32       no       815.887957       63.550703      627.537146     2056.740864                    55.97                      0.0
      precision    cpu           4         128 int8_dynamic       no       803.232234       87.812787      637.424618     2226.417664                    59.22                      0.0
      precision   cuda           4         128         fp32       no        21.268836        2.799765    24072.779422      449.830912                    45.21                     58.8
      precision   cuda           4         128         fp16       no         8.362698        1.000595    61224.261132      574.147072                    42.25                     14.8
      precision   cuda           4         128         bf16       no        31.369064        5.078611    16321.813109      748.464640                    46.94                     65.2
    compilation    cpu           4          32         fp32       no       252.571369       40.798583      506.787450     2358.841344                    65.49                      0.0
    compilation    cpu           4          32         fp32      yes       224.307092        8.069888      570.646246     2740.273152                    53.43                      0.0
    compilation    cpu           4         128         fp32       no       990.767681      239.575938      516.770995     2760.331264                    64.17                      0.0
    compilation    cpu           4         128         fp32      yes       824.873387       16.061797      620.701320     2763.931648                    52.76                      0.0
    compilation    cpu           4         256         fp32       no      1748.191717      229.905994      585.748113     2764.505088                    59.45                      0.0
    compilation    cpu           4         256         fp32      yes      1696.650731      220.301085      603.542014     2764.918784                    60.33                      0.0
    compilation   cuda           4          32         fp32       no         9.428435        0.530936    13575.953440      370.513920                    43.91                     37.5
    compilation   cuda           4          32         fp32      yes        13.359009        2.295626     9581.549266      705.255424                   100.00                     18.2
    compilation   cuda           4         128         fp32       no        20.992291        5.371531    24389.906264      784.048128                    45.50                     63.0
    compilation   cuda           4         128         fp32      yes        16.111424        1.933169    31778.692392      784.572416                    44.59                     51.7
    compilation   cuda           4         256         fp32       no        38.730158        1.955970    26439.344761      888.426496                    61.33                     65.0
    compilation   cuda           4         256         fp32      yes        34.403760        1.663112    29764.188652      888.377344                    49.22                     65.7
